Methods	Root	Root_Error	NNI_Error	Diamond	nTrees	h_0	h_1	h_2
InferNetwork_MPL	r1	0.3	0.3	d9	1000	0	68	32
InferNetwork_MPL	r1	0.3	0.3	d9	5000	0	71	29
InferNetwork_MPL	r2	0	0	d1	100	0	89	11
InferNetwork_MPL	r2	0	0	d1	500	0	99	1
InferNetwork_MPL	r2	0	0	d1	1000	0	97	3
InferNetwork_MPL	r2	0	0	d1	5000	0	97	3
InferNetwork_MPL	r2	0	0	d2	100	0	89	11
InferNetwork_MPL	r2	0	0	d2	500	0	97	3
InferNetwork_MPL	r2	0	0	d2	1000	0	100	0
InferNetwork_MPL	r2	0	0	d2	5000	0	100	0
InferNetwork_MPL	r2	0	0	d3	100	0	90	10
InferNetwork_MPL	r2	0	0	d3	500	0	99	1
InferNetwork_MPL	r2	0	0	d3	1000	0	100	0
InferNetwork_MPL	r2	0	0	d3	5000	0	94	6
InferNetwork_MPL	r2	0	0	d4	100	0	84	16
InferNetwork_MPL	r2	0	0	d4	500	0	100	0
InferNetwork_MPL	r2	0	0	d4	1000	0	100	0
InferNetwork_MPL	r2	0	0	d4	5000	0	99	1
InferNetwork_MPL	r2	0	0	d5	100	0	90	10
InferNetwork_MPL	r2	0	0	d5	500	0	99	1
InferNetwork_MPL	r2	0	0	d5	1000	0	100	0
InferNetwork_MPL	r2	0	0	d5	5000	0	99	1
InferNetwork_MPL	r2	0	0	d6	100	0	88	12
InferNetwork_MPL	r2	0	0	d6	500	0	99	1
InferNetwork_MPL	r2	0	0	d6	1000	0	100	0
InferNetwork_MPL	r2	0	0	d6	5000	0	100	0
InferNetwork_MPL	r2	0	0	d7	100	0	89	11
InferNetwork_MPL	r2	0	0	d7	500	0	95	5
InferNetwork_MPL	r2	0	0	d7	1000	0	99	1
InferNetwork_MPL	r2	0	0	d7	5000	0	100	0
InferNetwork_MPL	r2	0	0	d8	100	0	89	11
InferNetwork_MPL	r2	0	0	d8	500	0	100	0
InferNetwork_MPL	r2	0	0	d8	1000	0	99	1
InferNetwork_MPL	r2	0	0	d8	5000	0	100	0
InferNetwork_MPL	r2	0	0	d9	100	0	95	5
InferNetwork_MPL	r2	0	0	d9	500	0	98	2
InferNetwork_MPL	r2	0	0	d9	1000	0	100	0
InferNetwork_MPL	r2	0	0	d9	5000	0	100	0
InferNetwork_MPL	r2	0.1	0	d1	100	0	82	18
InferNetwork_MPL	r2	0.1	0	d1	500	0	93	7
InferNetwork_MPL	r2	0.1	0	d1	1000	0	94	6
InferNetwork_MPL	r2	0.1	0	d1	5000	0	93	7
InferNetwork_MPL	r2	0.1	0	d2	100	0	76	24
InferNetwork_MPL	r2	0.1	0	d2	500	0	93	7
InferNetwork_MPL	r2	0.1	0	d2	1000	0	96	4
InferNetwork_MPL	r2	0.1	0	d2	5000	0	95	5
InferNetwork_MPL	r2	0.1	0	d3	100	0	85	15
InferNetwork_MPL	r2	0.1	0	d3	500	0	99	1
InferNetwork_MPL	r2	0.1	0	d3	1000	0	97	3
InferNetwork_MPL	r2	0.1	0	d3	5000	0	88	12
InferNetwork_MPL	r2	0.1	0	d4	100	0	73	27
InferNetwork_MPL	r2	0.1	0	d4	500	0	89	11
InferNetwork_MPL	r2	0.1	0	d4	1000	0	91	9
InferNetwork_MPL	r2	0.1	0	d4	5000	0	90	10
InferNetwork_MPL	r2	0.1	0	d5	100	0	86	14
InferNetwork_MPL	r2	0.1	0	d5	500	0	95	5
InferNetwork_MPL	r2	0.1	0	d5	1000	0	97	3
InferNetwork_MPL	r2	0.1	0	d5	5000	0	91	9
InferNetwork_MPL	r2	0.1	0	d6	100	0	73	27
InferNetwork_MPL	r2	0.1	0	d6	500	0	89	11
InferNetwork_MPL	r2	0.1	0	d6	1000	0	91	9
InferNetwork_MPL	r2	0.1	0	d6	5000	0	93	7
InferNetwork_MPL	r2	0.1	0	d7	100	0	76	24
InferNetwork_MPL	r2	0.1	0	d7	500	0	75	25
InferNetwork_MPL	r2	0.1	0	d7	1000	0	71	29
InferNetwork_MPL	r2	0.1	0	d7	5000	0	85	15
InferNetwork_MPL	r2	0.1	0	d8	100	0	87	13
InferNetwork_MPL	r2	0.1	0	d8	500	0	95	5
InferNetwork_MPL	r2	0.1	0	d8	1000	0	97	3
InferNetwork_MPL	r2	0.1	0	d8	5000	0	96	4
InferNetwork_MPL	r2	0.1	0	d9	100	0	92	8
InferNetwork_MPL	r2	0.1	0	d9	500	0	90	10
InferNetwork_MPL	r2	0.1	0	d9	1000	0	97	3
InferNetwork_MPL	r2	0.1	0	d9	5000	0	88	12
InferNetwork_MPL	r2	0.1	0.1	d1	100	0	79	21
InferNetwork_MPL	r2	0.1	0.1	d1	500	0	95	5
InferNetwork_MPL	r2	0.1	0.1	d1	1000	0	95	5
InferNetwork_MPL	r2	0.1	0.1	d1	5000	0	90	10
InferNetwork_MPL	r2	0.1	0.1	d2	100	0	88	12
InferNetwork_MPL	r2	0.1	0.1	d2	500	0	92	8
InferNetwork_MPL	r2	0.1	0.1	d2	1000	0	95	5
InferNetwork_MPL	r2	0.1	0.1	d2	5000	0	92	8
InferNetwork_MPL	r2	0.1	0.1	d3	100	0	80	20
InferNetwork_MPL	r2	0.1	0.1	d3	500	0	95	5
InferNetwork_MPL	r2	0.1	0.1	d3	1000	0	95	5
InferNetwork_MPL	r2	0.1	0.1	d3	5000	0	85	15
InferNetwork_MPL	r2	0.1	0.1	d4	100	0	74	26
InferNetwork_MPL	r2	0.1	0.1	d4	500	0	94	6
InferNetwork_MPL	r2	0.1	0.1	d4	1000	0	90	10
InferNetwork_MPL	r2	0.1	0.1	d4	5000	0	87	13
InferNetwork_MPL	r2	0.1	0.1	d5	100	0	85	15
InferNetwork_MPL	r2	0.1	0.1	d5	500	0	95	5
InferNetwork_MPL	r2	0.1	0.1	d5	1000	0	95	5
InferNetwork_MPL	r2	0.1	0.1	d5	5000	0	91	9
InferNetwork_MPL	r2	0.1	0.1	d6	100	0	77	23
InferNetwork_MPL	r2	0.1	0.1	d6	500	0	92	8
InferNetwork_MPL	r2	0.1	0.1	d6	1000	0	89	11
InferNetwork_MPL	r2	0.1	0.1	d6	5000	0	92	8
InferNetwork_MPL	r2	0.1	0.1	d7	100	0	73	27
InferNetwork_MPL	r2	0.1	0.1	d7	500	0	80	20
InferNetwork_MPL	r2	0.1	0.1	d7	1000	0	74	26
InferNetwork_MPL	r2	0.1	0.1	d7	5000	0	83	17
InferNetwork_MPL	r2	0.1	0.1	d8	100	0	81	19
InferNetwork_MPL	r2	0.1	0.1	d8	500	0	96	4
InferNetwork_MPL	r2	0.1	0.1	d8	1000	0	93	7
InferNetwork_MPL	r2	0.1	0.1	d8	5000	0	87	13
InferNetwork_MPL	r2	0.1	0.1	d9	100	0	86	14
InferNetwork_MPL	r2	0.1	0.1	d9	500	0	90	10
InferNetwork_MPL	r2	0.1	0.1	d9	1000	0	87	13
InferNetwork_MPL	r2	0.1	0.1	d9	5000	0	94	6
InferNetwork_MPL	r2	0.3	0	d1	100	0	66	34
InferNetwork_MPL	r2	0.3	0	d1	500	0	80	20
InferNetwork_MPL	r2	0.3	0	d1	1000	0	76	24
InferNetwork_MPL	r2	0.3	0	d1	5000	0	82	18
InferNetwork_MPL	r2	0.3	0	d2	100	0	65	35
InferNetwork_MPL	r2	0.3	0	d2	500	0	67	33
InferNetwork_MPL	r2	0.3	0	d2	1000	0	82	18
InferNetwork_MPL	r2	0.3	0	d2	5000	0	69	31
InferNetwork_MPL	r2	0.3	0	d3	100	0	50	50
InferNetwork_MPL	r2	0.3	0	d3	500	0	59	41
InferNetwork_MPL	r2	0.3	0	d3	1000	0	70	30
InferNetwork_MPL	r2	0.3	0	d3	5000	0	69	31
InferNetwork_MPL	r2	0.3	0	d4	100	0	44	56
InferNetwork_MPL	r2	0.3	0	d4	500	0	48	52
InferNetwork_MPL	r2	0.3	0	d4	1000	0	55	45
InferNetwork_MPL	r2	0.3	0	d4	5000	0	65	35
InferNetwork_MPL	r2	0.3	0	d5	100	0	82	18
InferNetwork_MPL	r2	0.3	0	d5	500	0	94	6
InferNetwork_MPL	r2	0.3	0	d5	1000	0	83	17
InferNetwork_MPL	r2	0.3	0	d5	5000	0	84	16
InferNetwork_MPL	r2	0.3	0	d6	100	0	39	61
InferNetwork_MPL	r2	0.3	0	d6	500	0	44	56
InferNetwork_MPL	r2	0.3	0	d6	1000	0	54	46
InferNetwork_MPL	r2	0.3	0	d6	5000	0	62	38
InferNetwork_MPL	r2	0.3	0	d7	100	0	26	74
InferNetwork_MPL	r2	0.3	0	d7	500	0	15	85
InferNetwork_MPL	r2	0.3	0	d7	1000	0	21	79
InferNetwork_MPL	r2	0.3	0	d7	5000	0	17	83
InferNetwork_MPL	r2	0.3	0	d8	100	0	66	34
InferNetwork_MPL	r2	0.3	0	d8	500	0	86	14
InferNetwork_MPL	r2	0.3	0	d8	1000	0	86	14
InferNetwork_MPL	r2	0.3	0	d8	5000	0	77	23
InferNetwork_MPL	r2	0.3	0	d9	100	0	67	33
InferNetwork_MPL	r2	0.3	0	d9	500	0	72	28
InferNetwork_MPL	r2	0.3	0	d9	1000	0	81	19
InferNetwork_MPL	r2	0.3	0	d9	5000	0	74	26
InferNetwork_MPL	r2	0.3	0.3	d1	100	0	63	37
InferNetwork_MPL	r2	0.3	0.3	d1	500	0	82	18
InferNetwork_MPL	r2	0.3	0.3	d1	1000	0	83	17
InferNetwork_MPL	r2	0.3	0.3	d1	5000	0	81	19
InferNetwork_MPL	r2	0.3	0.3	d2	100	0	61	39
InferNetwork_MPL	r2	0.3	0.3	d2	500	0	80	20
InferNetwork_MPL	r2	0.3	0.3	d2	1000	0	75	25
InferNetwork_MPL	r2	0.3	0.3	d2	5000	0	69	31
InferNetwork_MPL	r2	0.3	0.3	d3	100	0	55	45
InferNetwork_MPL	r2	0.3	0.3	d3	500	0	82	18
InferNetwork_MPL	r2	0.3	0.3	d3	1000	0	87	13
InferNetwork_MPL	r2	0.3	0.3	d3	5000	0	83	17
InferNetwork_MPL	r2	0.3	0.3	d4	100	0	39	61
InferNetwork_MPL	r2	0.3	0.3	d4	500	0	67	33
InferNetwork_MPL	r2	0.3	0.3	d4	1000	0	62	38
InferNetwork_MPL	r2	0.3	0.3	d4	5000	0	60	40
InferNetwork_MPL	r2	0.3	0.3	d5	100	0	72	28
InferNetwork_MPL	r2	0.3	0.3	d5	500	0	84	16
InferNetwork_MPL	r2	0.3	0.3	d5	1000	0	82	18
InferNetwork_MPL	r2	0.3	0.3	d5	5000	0	86	14
InferNetwork_MPL	r2	0.3	0.3	d6	100	0	40	60
InferNetwork_MPL	r2	0.3	0.3	d6	500	0	37	63
InferNetwork_MPL	r2	0.3	0.3	d6	1000	0	51	49
InferNetwork_MPL	r2	0.3	0.3	d6	5000	0	41	59
InferNetwork_MPL	r2	0.3	0.3	d7	100	0	31	69
InferNetwork_MPL	r2	0.3	0.3	d7	500	0	33	67
InferNetwork_MPL	r2	0.3	0.3	d7	1000	0	32	68
InferNetwork_MPL	r2	0.3	0.3	d7	5000	0	30	70
InferNetwork_MPL	r2	0.3	0.3	d8	100	0	64	36
InferNetwork_MPL	r2	0.3	0.3	d8	500	0	72	28
InferNetwork_MPL	r2	0.3	0.3	d8	1000	0	77	23
InferNetwork_MPL	r2	0.3	0.3	d8	5000	0	70	30
InferNetwork_MPL	r2	0.3	0.3	d9	100	0	68	32
InferNetwork_MPL	r2	0.3	0.3	d9	500	0	80	20
InferNetwork_MPL	r2	0.3	0.3	d9	1000	0	85	15
InferNetwork_MPL	r2	0.3	0.3	d9	5000	0	70	30
InferNetwork_MPL	r3	0	0	d1	100	1	68	31
InferNetwork_MPL	r3	0	0	d1	500	0	78	22
InferNetwork_MPL	r3	0	0	d1	1000	0	83	17
InferNetwork_MPL	r3	0	0	d1	5000	0	78	22
InferNetwork_MPL	r3	0	0	d2	100	0	79	21
InferNetwork_MPL	r3	0	0	d2	500	0	79	21
InferNetwork_MPL	r3	0	0	d2	1000	0	75	25
InferNetwork_MPL	r3	0	0	d2	5000	0	80	20
InferNetwork_MPL	r3	0	0	d3	100	0	70	30
InferNetwork_MPL	r3	0	0	d3	500	0	87	13
InferNetwork_MPL	r3	0	0	d3	1000	0	89	11
InferNetwork_MPL	r3	0	0	d3	5000	0	62	38
InferNetwork_MPL	r3	0	0	d4	100	0	82	18
InferNetwork_MPL	r3	0	0	d4	500	0	82	18
InferNetwork_MPL	r3	0	0	d4	1000	0	80	20
InferNetwork_MPL	r3	0	0	d4	5000	0	81	19
InferNetwork_MPL	r3	0	0	d5	100	0	68	32
InferNetwork_MPL	r3	0	0	d5	500	0	74	26
InferNetwork_MPL	r3	0	0	d5	1000	0	80	20
InferNetwork_MPL	r3	0	0	d5	5000	0	72	28
InferNetwork_MPL	r3	0	0	d6	100	0	90	10
InferNetwork_MPL	r3	0	0	d6	500	0	88	12
InferNetwork_MPL	r3	0	0	d6	1000	0	87	13
InferNetwork_MPL	r3	0	0	d6	5000	0	86	14
InferNetwork_MPL	r3	0	0	d7	100	0	78	22
InferNetwork_MPL	r3	0	0	d7	500	0	93	7
InferNetwork_MPL	r3	0	0	d7	1000	0	91	9
InferNetwork_MPL	r3	0	0	d7	5000	0	90	10
InferNetwork_MPL	r3	0	0	d8	100	0	84	16
InferNetwork_MPL	r3	0	0	d8	500	0	83	17
InferNetwork_MPL	r3	0	0	d8	1000	0	87	13
InferNetwork_MPL	r3	0	0	d8	5000	0	85	15
InferNetwork_MPL	r3	0	0	d9	100	0	89	11
InferNetwork_MPL	r3	0	0	d9	500	0	79	21
InferNetwork_MPL	r3	0	0	d9	1000	0	80	20
InferNetwork_MPL	r3	0	0	d9	5000	0	87	13
InferNetwork_MPL	r3	0.1	0	d1	100	0	58	42
InferNetwork_MPL	r3	0.1	0	d1	500	0	52	48
InferNetwork_MPL	r3	0.1	0	d1	1000	0	55	45
InferNetwork_MPL	r3	0.1	0	d1	5000	0	42	58
InferNetwork_MPL	r3	0.1	0	d2	100	0	73	27
InferNetwork_MPL	r3	0.1	0	d2	500	0	71	29
InferNetwork_MPL	r3	0.1	0	d2	1000	0	61	39
InferNetwork_MPL	r3	0.1	0	d2	5000	0	52	48
InferNetwork_MPL	r3	0.1	0	d3	100	0	66	34
InferNetwork_MPL	r3	0.1	0	d3	500	0	55	45
InferNetwork_MPL	r3	0.1	0	d3	1000	0	53	47
InferNetwork_MPL	r3	0.1	0	d3	5000	0	53	47
InferNetwork_MPL	r3	0.1	0	d4	100	0	76	24
InferNetwork_MPL	r3	0.1	0	d4	500	0	62	38
InferNetwork_MPL	r3	0.1	0	d4	1000	0	58	42
InferNetwork_MPL	r3	0.1	0	d4	5000	0	47	53
InferNetwork_MPL	r3	0.1	0	d5	100	0	67	33
InferNetwork_MPL	r3	0.1	0	d5	500	0	58	42
InferNetwork_MPL	r3	0.1	0	d5	1000	0	54	46
InferNetwork_MPL	r3	0.1	0	d5	5000	0	44	56
InferNetwork_MPL	r3	0.1	0	d6	100	0	70	30
InferNetwork_MPL	r3	0.1	0	d6	500	0	74	26
InferNetwork_MPL	r3	0.1	0	d6	1000	0	78	22
InferNetwork_MPL	r3	0.1	0	d6	5000	0	54	46
InferNetwork_MPL	r3	0.1	0	d7	100	0	63	37
InferNetwork_MPL	r3	0.1	0	d7	500	0	54	46
InferNetwork_MPL	r3	0.1	0	d7	1000	0	44	56
InferNetwork_MPL	r3	0.1	0	d7	5000	0	37	63
InferNetwork_MPL	r3	0.1	0	d8	100	1	70	29
InferNetwork_MPL	r3	0.1	0	d8	500	0	76	24
InferNetwork_MPL	r3	0.1	0	d8	1000	0	72	28
InferNetwork_MPL	r3	0.1	0	d8	5000	0	66	34
InferNetwork_MPL	r3	0.1	0	d9	100	0	79	21
InferNetwork_MPL	r3	0.1	0	d9	500	0	53	47
InferNetwork_MPL	r3	0.1	0	d9	1000	0	67	33
InferNetwork_MPL	r3	0.1	0	d9	5000	0	47	53
InferNetwork_MPL	r3	0.1	0.1	d1	100	0	60	40
InferNetwork_MPL	r3	0.1	0.1	d1	500	0	47	53
InferNetwork_MPL	r3	0.1	0.1	d1	1000	0	62	38
InferNetwork_MPL	r3	0.1	0.1	d1	5000	0	38	62
