Methods	Root	Root.Error	NNI.Error	Diamond	nTrees	Percent_Correct
InferNetwork_MPL	r3	0	0	d8	500	83
InferNetwork_MPL	r3	0	0	d8	1000	87
InferNetwork_MPL	r3	0	0	d8	5000	90
InferNetwork_MPL	r3	0	0	d9	100	75
InferNetwork_MPL	r3	0	0	d9	500	78
InferNetwork_MPL	r3	0	0	d9	1000	82
InferNetwork_MPL	r3	0	0	d9	5000	87
InferNetwork_MPL	r3	0.1	0	d1	100	41
InferNetwork_MPL	r3	0.1	0	d1	500	38
InferNetwork_MPL	r3	0.1	0	d1	1000	44
InferNetwork_MPL	r3	0.1	0	d1	5000	46
InferNetwork_MPL	r3	0.1	0	d2	100	24
InferNetwork_MPL	r3	0.1	0	d2	500	24
InferNetwork_MPL	r3	0.1	0	d2	1000	31
InferNetwork_MPL	r3	0.1	0	d2	5000	12
InferNetwork_MPL	r3	0.1	0	d3	100	49
InferNetwork_MPL	r3	0.1	0	d3	500	53
InferNetwork_MPL	r3	0.1	0	d3	1000	60
InferNetwork_MPL	r3	0.1	0	d3	5000	66
InferNetwork_MPL	r3	0.1	0	d4	100	41
InferNetwork_MPL	r3	0.1	0	d4	500	41
InferNetwork_MPL	r3	0.1	0	d4	1000	44
InferNetwork_MPL	r3	0.1	0	d4	5000	43
InferNetwork_MPL	r3	0.1	0	d5	100	57
InferNetwork_MPL	r3	0.1	0	d5	500	55
InferNetwork_MPL	r3	0.1	0	d5	1000	53
InferNetwork_MPL	r3	0.1	0	d5	5000	57
InferNetwork_MPL	r3	0.1	0	d6	100	24
InferNetwork_MPL	r3	0.1	0	d6	500	20
InferNetwork_MPL	r3	0.1	0	d6	1000	17
InferNetwork_MPL	r3	0.1	0	d6	5000	21
InferNetwork_MPL	r3	0.1	0	d7	100	45
InferNetwork_MPL	r3	0.1	0	d7	500	53
InferNetwork_MPL	r3	0.1	0	d7	1000	49
InferNetwork_MPL	r3	0.1	0	d7	5000	50
InferNetwork_MPL	r3	0.1	0	d8	100	64
InferNetwork_MPL	r3	0.1	0	d8	500	81
InferNetwork_MPL	r3	0.1	0	d8	1000	79
InferNetwork_MPL	r3	0.1	0	d8	5000	85
InferNetwork_MPL	r3	0.1	0	d9	100	27
InferNetwork_MPL	r3	0.1	0	d9	500	27
InferNetwork_MPL	r3	0.1	0	d9	1000	31
InferNetwork_MPL	r3	0.1	0	d9	5000	28
InferNetwork_MPL	r3	0.1	0.1	d1	100	39
InferNetwork_MPL	r3	0.1	0.1	d1	500	37
InferNetwork_MPL	r3	0.1	0.1	d1	1000	46
InferNetwork_MPL	r3	0.1	0.1	d1	5000	36
InferNetwork_MPL	r3	0.1	0.1	d2	100	26
InferNetwork_MPL	r3	0.1	0.1	d2	500	26
InferNetwork_MPL	r3	0.1	0.1	d2	1000	19
InferNetwork_MPL	r3	0.1	0.1	d2	5000	20
InferNetwork_MPL	r3	0.1	0.1	d3	100	47
InferNetwork_MPL	r3	0.1	0.1	d3	500	54
InferNetwork_MPL	r3	0.1	0.1	d3	1000	64
InferNetwork_MPL	r3	0.1	0.1	d3	5000	68
InferNetwork_MPL	r3	0.1	0.1	d4	100	41
InferNetwork_MPL	r3	0.1	0.1	d4	500	48
InferNetwork_MPL	r3	0.1	0.1	d4	1000	38
InferNetwork_MPL	r3	0.1	0.1	d4	5000	36
InferNetwork_MPL	r3	0.1	0.1	d5	100	54
InferNetwork_MPL	r3	0.1	0.1	d5	500	58
InferNetwork_MPL	r3	0.1	0.1	d5	1000	53
InferNetwork_MPL	r3	0.1	0.1	d5	5000	56
InferNetwork_MPL	r3	0.1	0.1	d6	100	30
InferNetwork_MPL	r3	0.1	0.1	d6	500	22
InferNetwork_MPL	r3	0.1	0.1	d6	1000	17
InferNetwork_MPL	r3	0.1	0.1	d6	5000	17
InferNetwork_MPL	r3	0.1	0.1	d7	100	50
InferNetwork_MPL	r3	0.1	0.1	d7	500	45
InferNetwork_MPL	r3	0.1	0.1	d7	1000	38
InferNetwork_MPL	r3	0.1	0.1	d7	5000	49
InferNetwork_MPL	r3	0.1	0.1	d8	100	61
InferNetwork_MPL	r3	0.1	0.1	d8	500	72
InferNetwork_MPL	r3	0.1	0.1	d8	1000	79
InferNetwork_MPL	r3	0.1	0.1	d8	5000	77
InferNetwork_MPL	r3	0.1	0.1	d9	100	30
InferNetwork_MPL	r3	0.1	0.1	d9	500	22
InferNetwork_MPL	r3	0.1	0.1	d9	1000	20
InferNetwork_MPL	r3	0.1	0.1	d9	5000	23
InferNetwork_MPL	r3	0.3	0	d1	100	21
InferNetwork_MPL	r3	0.3	0	d1	500	22
InferNetwork_MPL	r3	0.3	0	d1	1000	17
InferNetwork_MPL	r3	0.3	0	d1	5000	24
InferNetwork_MPL	r3	0.3	0	d2	100	13
InferNetwork_MPL	r3	0.3	0	d2	500	9
InferNetwork_MPL	r3	0.3	0	d2	1000	7
InferNetwork_MPL	r3	0.3	0	d2	5000	7
InferNetwork_MPL	r3	0.3	0	d3	100	31
InferNetwork_MPL	r3	0.3	0	d3	500	40
InferNetwork_MPL	r3	0.3	0	d3	1000	39
InferNetwork_MPL	r3	0.3	0	d3	5000	36
InferNetwork_MPL	r3	0.3	0	d4	100	12
InferNetwork_MPL	r3	0.3	0	d4	500	15
InferNetwork_MPL	r3	0.3	0	d4	1000	5
InferNetwork_MPL	r3	0.3	0	d4	5000	8
InferNetwork_MPL	r3	0.3	0	d5	100	38
InferNetwork_MPL	r3	0.3	0	d5	500	39
InferNetwork_MPL	r3	0.3	0	d5	1000	36
InferNetwork_MPL	r3	0.3	0	d5	5000	33
InferNetwork_MPL	r3	0.3	0	d6	100	10
InferNetwork_MPL	r3	0.3	0	d6	500	1
InferNetwork_MPL	r3	0.3	0	d6	1000	4
InferNetwork_MPL	r3	0.3	0	d6	5000	2
InferNetwork_MPL	r3	0.3	0	d7	100	17
InferNetwork_MPL	r3	0.3	0	d7	500	18
InferNetwork_MPL	r3	0.3	0	d7	1000	15
InferNetwork_MPL	r3	0.3	0	d7	5000	6
