Diamond	phi	nTrees	SeqLength	Replicate	Net0_lnL	Net1_lnL	Net2_lnL	best_h	RF_dist	HBS	gamma
d2	phi1	250	1000	2	114.01628262668247	3.876114985398823	3.8761149852274386	1	9	0	None
d2	phi1	250	1000	3	112.62807043933678	3.0315672457221527	3.0315672457017646	1	0	1	0.47373300198716695
d2	phi1	250	1000	4	98.95087159571854	4.718382648495215	4.718382648144897	1	0	1	0.4954676625587603
d2	phi1	250	1000	5	59.33570052344352	3.0331279892824625	3.033127989017487	1	0	1	0.3081127153187779
d2	phi1	250	1000	6	97.0853300398705	2.390775290806294	2.390775290803241	1	0	1	0.4461251660627784
d2	phi1	250	1000	7	94.99912338369441	4.945680535615053	4.945680535588064	1	0	1	0.4506675078467621
d2	phi1	250	1000	8	108.81828205713863	5.161021920168253	5.16102192007407	1	0	1	0.4588489436249539
d2	phi1	250	1000	9	86.58835858837689	12.53938570580564	12.539385705764877	1	0	1	0.4160095361993014
d2	phi1	250	1000	10	104.22696826846878	4.299239235010188	4.29923923500831	1	0	1	0.4938504939069324
d2	phi1	250	1000	11	72.67882935330135	6.428144288444397	6.428138724453309	1	0	1	0.28279693537120815
d2	phi1	250	1000	12	85.41463387233104	3.4611108666392547	3.4611108666057175	1	0	1	0.4242733456522899
d2	phi1	250	1000	13	97.73182805982613	1.8200931146053765	1.8200928255688475	1	0	1	0.3894169868282355
d2	phi1	250	1000	14	165.09399012683713	3.947133938692507	3.9471339386905306	1	0	1	0.4099976975655019
d2	phi1	250	1000	15	112.61418223022982	4.894083788114047	4.894083787896209	1	0	1	0.47912273576117614
d2	phi1	250	1000	16	109.86649218957518	4.494255611973953	4.4942556119482555	1	0	1	0.4729094734275112
d2	phi1	250	1000	17	96.34274193941228	4.8738443575580845	4.8738443574105625	1	0	1	0.40055277193211286
d2	phi1	250	1000	18	78.72905253557633	3.722277899703467	3.7222778995628576	1	0	1	0.4606193938904187
d2	phi1	250	1000	19	105.67984586853157	5.260768475377295	5.260768475362892	1	0	1	0.3880075676536928
d2	phi1	1000	1000	0	110.26247063121366	0.2344111284655539	0.23441079154917163	1	0	1	0.43703534795748483
